action_type,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_zone_area,game_date,opponent,shot_id
Jump Shot,33.8393,135,205,-118.1348,9,3,0,2015-16,0,24,,Right Side Center(RC),2016-02-21,CHI,22586
Jump Shot,33.8243,107,220,-118.1628,6,4,1,2003-04,38,24,0.0,Right Side Center(RC),2004-04-28,HOU,11766
Jump Shot,33.8133,97,231,-118.1728,6,3,0,2009-10,24,25,0.0,Right Side Center(RC),2010-02-26,PHI,1012
Jump Shot,33.9533,-64,91,-118.3338,4,2,0,2011-12,12,11,,Left Side(L),2012-04-20,SAS,25699
Jump Shot,33.8953,-86,149,-118.3558,2,4,0,2010-11,37,17,,Left Side Center(LC),2011-02-23,POR,14741
Jump Shot,33.8453,49,199,-118.2208,4,2,0,2007-08,51,20,1.0,Center(C),2008-01-14,SEA,27956
Jump Shot,33.8873,-188,157,-118.4578,10,1,0,2008-09,41,24,1.0,Left Side Center(LC),2009-02-02,NYK,9072
Jump Shot,33.8113,148,233,-118.1218,3,2,0,2005-06,51,27,0.0,Right Side Center(RC),2006-03-17,NJN,1035
Jump Shot,34.0473,-192,-3,-118.4618,2,4,0,2005-06,41,19,0.0,Left Side(L),2006-02-24,LAC,15382
Jump Shot,34.0083,-27,36,-118.2968,10,3,1,2000-01,36,4,,Center(C),2001-06-15,PHI,2271
Fadeaway Jump Shot,34.0303,70,14,-118.1998,5,4,0,2014-15,2,7,0.0,Center(C),2014-11-09,CHA,697
Jump Shot,34.0293,236,15,-118.0338,2,2,0,2004-05,58,23,0.0,Right Side(R),2004-11-12,ORL,28401
Jump Shot,33.8833,-181,161,-118.4508,0,1,0,2005-06,30,24,1.0,Left Side Center(LC),2006-02-28,ORL,11779
Jump Shot,33.8853,-38,159,-118.3078,11,3,0,2015-16,24,16,,Center(C),2015-12-17,HOU,3705
Jump Shot,33.8173,123,227,-118.1468,0,3,0,1997-98,39,25,1.0,Right Side Center(RC),1997-12-05,SAS,12614
Jump Shot,33.9743,18,70,-118.2518,6,4,1,2000-01,40,7,0.0,Center(C),2001-05-19,SAS,24350
Running Jump Shot,33.9113,-54,133,-118.3238,7,3,0,2005-06,13,14,1.0,Center(C),2006-03-01,POR,1452
Layup Shot,33.9593,-85,85,-118.3548,4,3,0,1997-98,53,12,0.0,Left Side(L),1997-11-23,LAC,16125
Driving Layup Shot,34.0443,0,0,-118.2698,0,1,1,2003-04,48,0,,Center(C),2004-06-06,DET,29317
Jump Hook Shot,33.9893,18,55,-118.2518,8,4,0,2009-10,14,5,1.0,Center(C),2009-12-11,MIN,14396
Reverse Layup Shot,34.0443,0,0,-118.2698,11,4,0,2002-03,44,0,0.0,Center(C),2003-01-12,MIA,2791
Jump Shot,33.3163,-168,728,-118.4378,0,1,1,2009-10,0,74,0.0,Back Court(BC),2010-04-30,OKC,8664
Reverse Layup Shot,34.0443,0,0,-118.2698,9,3,0,2006-07,7,0,1.0,Center(C),2007-04-18,SAC,3306
Jump Shot,34.0163,-197,28,-118.4668,5,2,0,2000-01,13,19,0.0,Left Side(L),2000-12-12,MIL,5517
Jump Shot,33.8653,105,179,-118.1648,7,2,0,2009-10,6,20,0.0,Right Side Center(RC),2010-01-01,SAC,7881
Jump Shot,33.8583,-164,186,-118.4338,5,2,1,2009-10,57,24,,Left Side Center(LC),2010-05-04,UTA,30682
Jump Shot,33.9043,72,140,-118.1978,11,4,0,2003-04,27,15,1.0,Center(C),2004-04-13,GSW,6691
Jump Shot,34.0273,141,17,-118.1288,3,2,0,2009-10,51,14,,Right Side(R),2010-01-08,POR,6745
Jump Shot,33.9753,-56,69,-118.3258,4,2,0,2003-04,44,8,0.0,Left Side(L),2004-03-13,CHI,7133
Jump Shot,33.9453,98,99,-118.1718,7,3,0,2000-01,55,13,1.0,Right Side(R),2001-03-21,MIL,13362
Jump Shot,33.9433,-218,101,-118.4878,7,3,0,2008-09,38,24,,Left Side Center(LC),2009-03-01,PHX,5422
Jump Shot,33.7903,12,254,-118.2578,2,4,1,2008-09,35,25,0.0,Center(C),2009-05-25,DEN,6174
Jump Shot,34.0023,24,42,-118.2458,0,3,0,2000-01,23,4,0.0,Center(C),2001-03-16,WAS,15389
Turnaround Jump Shot,33.8953,-127,149,-118.3968,6,3,1,2011-12,32,19,1.0,Left Side Center(LC),2012-05-10,DEN,16920
Layup Shot,34.0443,0,0,-118.2698,7,3,1,2009-10,5,0,1.0,Center(C),2010-06-15,BOS,28783
Jump Shot,33.8823,21,162,-118.2488,7,4,0,2011-12,38,16,1.0,Center(C),2012-01-16,DAL,25907
Jump Shot,33.8143,136,230,-118.1338,0,2,1,2008-09,38,26,0.0,Right Side Center(RC),2009-06-04,ORL,14682
Jump Shot,33.8733,-41,171,-118.3108,8,1,0,2007-08,0,17,0.0,Center(C),2007-12-30,BOS,30547
Driving Layup Shot,34.0443,0,0,-118.2698,4,3,0,2005-06,5,0,,Center(C),2005-11-08,ATL,23527
Jump Shot,33.9013,41,143,-118.2288,11,3,0,2003-04,26,14,1.0,Center(C),2003-11-06,SAS,1889
Turnaround Jump Shot,33.8683,-3,176,-118.2728,5,4,1,2007-08,31,17,1.0,Center(C),2008-04-28,DEN,18397
Jump Shot,33.9163,113,128,-118.1568,11,1,0,2006-07,47,17,,Right Side Center(RC),2007-02-09,TOR,17436
Layup Shot,34.0443,0,0,-118.2698,8,4,0,2003-04,7,0,0.0,Center(C),2004-04-11,SAC,22924
Jump Shot,33.8683,34,176,-118.2358,4,4,0,2011-12,3,17,1.0,Center(C),2012-03-21,DAL,13133
Jump Shot,33.8163,-97,228,-118.3668,2,2,0,2014-15,4,24,0.0,Left Side Center(LC),2014-11-09,CHA,5551
Jump Shot,33.9623,118,82,-118.1518,3,2,0,2006-07,37,14,1.0,Right Side(R),2007-03-06,MIN,27915
Jump Shot,33.8393,32,205,-118.2378,9,1,1,2009-10,45,20,0.0,Center(C),2010-05-04,UTA,18544
Jump Shot,34.0673,163,-23,-118.1068,9,4,0,2005-06,19,16,0.0,Right Side(R),2005-12-06,MIL,12036
Jump Shot,33.8653,121,179,-118.1488,4,1,0,2007-08,17,21,1.0,Right Side Center(RC),2007-11-02,PHX,6290
Fadeaway Jump Shot,34.0273,106,17,-118.1638,6,3,0,2008-09,44,10,1.0,Right Side(R),2009-01-19,CLE,1414
Layup Shot,34.0443,0,0,-118.2698,3,3,0,2001-02,44,0,0.0,Center(C),2002-03-29,POR,22637
Jump Shot,33.9733,151,71,-118.1188,3,4,0,2014-15,20,16,0.0,Right Side(R),2014-12-12,SAS,1563
Jump Shot,34.0043,-25,40,-118.2948,2,4,0,1998-99,24,4,0.0,Center(C),1999-02-08,SAS,23602
Jump Shot,33.7963,-5,248,-118.2748,7,4,0,2007-08,27,24,0.0,Center(C),2007-11-20,IND,21020
Running Jump Shot,33.8763,-75,168,-118.3448,0,3,0,2002-03,38,18,1.0,Left Side Center(LC),2002-12-17,MIN,20298
Jump Shot,33.8323,-131,212,-118.4008,9,3,0,2002-03,19,24,1.0,Left Side Center(LC),2003-01-07,SEA,4685
Jump Shot,33.8243,123,220,-118.1468,7,2,0,1997-98,52,25,0.0,Right Side Center(RC),1998-03-31,TOR,19984
Driving Layup Shot,34.0443,0,0,-118.2698,4,2,0,2001-02,25,0,0.0,Center(C),2002-01-30,ORL,20242
Jump Shot,33.9723,43,72,-118.2268,6,2,0,2012-13,46,8,0.0,Right Side(R),2012-12-22,GSW,5785
Turnaround Fadeaway shot,33.8713,-26,173,-118.2958,2,4,0,2011-12,0,17,1.0,Center(C),2012-03-02,SAC,5260
Layup Shot,34.0443,0,0,-118.2698,3,2,0,1996-97,56,0,1.0,Center(C),1997-04-08,GSW,29897
Jump Shot,33.8933,222,151,-118.0478,4,4,0,2005-06,20,26,0.0,Right Side Center(RC),2006-03-14,SAC,3624
Jump Shot,34.0463,-155,-2,-118.4248,10,2,0,2001-02,47,15,1.0,Left Side(L),2002-02-26,MIL,7175
Jump Shot,34.0343,-232,10,-118.5018,7,2,0,2006-07,36,23,0.0,Left Side(L),2007-03-27,MEM,11205
Jump Shot,34.0283,-63,16,-118.3328,0,2,0,1997-98,45,6,0.0,Center(C),1998-03-02,WAS,30390
Running Jump Shot,34.0143,64,30,-118.2058,0,1,0,1996-97,0,7,1.0,Center(C),1997-04-02,DEN,6563
Slam Dunk Shot,34.0443,0,0,-118.2698,0,3,0,1997-98,26,0,1.0,Center(C),1997-11-28,PHI,181
Jump Shot,33.8713,65,173,-118.2048,0,4,0,2012-13,55,18,0.0,Right Side Center(RC),2013-04-05,MEM,27590
Jump Shot,33.8633,-176,181,-118.4458,0,3,0,2002-03,0,25,0.0,Left Side Center(LC),2003-03-11,CHI,14108
Jump Shot,34.0043,182,40,-118.0878,7,1,0,2002-03,33,18,1.0,Right Side(R),2002-11-15,GSW,7232
Jump Shot,33.8613,-24,183,-118.2938,1,5,1,2008-09,58,18,0.0,Center(C),2009-06-11,ORL,28791
Jump Shot,33.8303,-124,214,-118.3938,4,1,0,2015-16,16,24,0.0,Left Side Center(LC),2015-12-22,DEN,17805
Dunk Shot,34.0443,6,0,-118.2638,2,4,0,2010-11,22,0,1.0,Center(C),2011-03-20,POR,12784
Jump Shot,33.9013,173,143,-118.0968,9,3,0,2010-11,36,22,0.0,Right Side Center(RC),2011-03-06,SAS,12777
Turnaround Jump Shot,33.8773,43,167,-118.2268,5,3,1,2008-09,28,17,0.0,Center(C),2009-05-29,DEN,5590
Slam Dunk Shot,34.0443,0,0,-118.2698,0,3,0,1998-99,33,0,1.0,Center(C),1999-05-02,SEA,470
Jump Shot,33.9323,-178,112,-118.4478,2,4,0,2001-02,7,21,0.0,Left Side(L),2002-03-19,DAL,7722
Jump Shot,33.9103,-139,134,-118.4088,2,1,0,1999-00,21,19,1.0,Left Side Center(LC),1999-12-17,MIN,7406
Jump Shot,33.9123,-135,132,-118.4048,4,2,0,2004-05,12,18,1.0,Left Side Center(LC),2004-11-05,SAS,2167
Running Jump Shot,33.8153,119,229,-118.1508,1,1,0,2015-16,36,25,1.0,Right Side Center(RC),2015-12-27,MEM,30386
Driving Layup Shot,34.0443,0,0,-118.2698,0,1,0,1997-98,0,0,,Center(C),1998-04-10,PHX,1028
Pullup Bank shot,34.0183,72,26,-118.1978,3,1,0,2013-14,37,7,1.0,Center(C),2013-12-17,MEM,11728
Jump Shot,33.7403,22,304,-118.2478,0,1,0,2000-01,0,30,1.0,Center(C),2001-02-07,PHX,21172
Layup Shot,34.0443,0,0,-118.2698,1,3,0,2004-05,38,0,,Center(C),2005-04-07,HOU,1424
Jump Shot,33.8923,140,152,-118.1298,4,5,1,2000-01,43,20,0.0,Right Side Center(RC),2001-06-06,PHI,27132
Jump Shot,33.9913,33,53,-118.2368,8,1,0,1999-00,22,6,1.0,Center(C),2000-02-09,MIN,29460
Dunk Shot,34.0383,0,6,-118.2698,4,5,0,2011-12,25,0,,Center(C),2012-03-14,NOH,19287
Slam Dunk Shot,34.0443,0,0,-118.2698,8,4,0,2002-03,42,0,1.0,Center(C),2003-02-27,DET,18154
Driving Hook Shot,34.0083,62,36,-118.2078,7,1,0,2005-06,39,7,0.0,Center(C),2006-01-22,TOR,26206
Turnaround Jump Shot,34.0273,187,17,-118.0828,6,2,1,2008-09,17,18,1.0,Right Side(R),2009-05-25,DEN,14657
Driving Layup Shot,34.0443,0,0,-118.2698,2,4,0,2009-10,36,0,1.0,Center(C),2010-03-07,ORL,22980
Jump Shot,33.9213,110,123,-118.1598,0,1,0,2005-06,39,16,0.0,Right Side Center(RC),2006-04-02,HOU,11204
Jump Shot,33.9173,-134,127,-118.4038,1,3,0,2008-09,34,18,,Left Side Center(LC),2008-10-28,POR,23911
Jump Shot,33.9763,175,68,-118.0948,3,4,0,1999-00,37,18,1.0,Right Side(R),2000-04-18,DAL,8920
Jump Shot,33.7983,65,246,-118.2048,7,4,0,2008-09,0,25,0.0,Center(C),2009-01-19,CLE,1193
Jump Shot,33.9443,-66,100,-118.3358,5,4,0,2006-07,45,11,,Left Side(L),2006-11-17,TOR,7509
Alley Oop Layup shot,34.0193,-5,25,-118.2748,5,3,0,2003-04,11,2,,Center(C),2003-11-06,SAS,6175
Turnaround Fadeaway shot,33.9453,56,99,-118.2138,2,2,0,2011-12,21,11,1.0,Center(C),2012-04-01,GSW,21315
Layup Shot,34.0443,0,0,-118.2698,3,1,0,1996-97,9,0,0.0,Center(C),1997-04-06,DAL,13505
Jump Shot,33.9593,138,85,-118.1318,6,4,0,2008-09,0,16,1.0,Right Side(R),2009-01-16,ORL,30428
Jump Shot,33.8783,-85,166,-118.3548,2,2,1,1999-00,6,18,1.0,Left Side Center(LC),2000-05-05,SAC,13584
Jump Shot,33.8863,-136,158,-118.4058,0,4,0,2002-03,0,20,1.0,Left Side Center(LC),2003-04-04,MEM,4158
Jump Shot,33.9213,-138,123,-118.4078,4,3,0,2010-11,40,18,0.0,Left Side Center(LC),2011-02-10,BOS,2560
Jump Shot,33.7273,-128,317,-118.3978,0,2,0,1999-00,4,34,,Left Side Center(LC),2000-01-10,DEN,27024
Running Jump Shot,34.0143,72,30,-118.1978,8,4,0,2004-05,57,7,,Center(C),2004-11-12,ORL,14085
Driving Layup Shot,34.0443,0,0,-118.2698,6,4,0,1999-00,46,0,1.0,Center(C),1999-12-03,POR,10440
Jump Shot,33.8613,-189,183,-118.4588,4,2,0,2005-06,0,26,1.0,Left Side Center(LC),2006-03-26,NOP,13959
Jump Shot,33.9643,-150,80,-118.4198,2,2,0,2009-10,53,17,0.0,Left Side(L),2009-11-22,OKC,10211
Jump Shot,33.8903,-136,154,-118.4058,2,5,0,2000-01,35,20,1.0,Left Side Center(LC),2001-01-15,VAN,3735
Running Jump Shot,33.9883,-8,56,-118.2778,5,3,0,2008-09,10,5,1.0,Center(C),2009-02-02,NYK,11377
Running Bank shot,33.9533,-41,91,-118.3108,4,4,0,2008-09,13,9,0.0,Center(C),2009-02-27,DEN,23303
Driving Layup Shot,34.0443,0,0,-118.2698,11,2,0,2005-06,6,0,,Center(C),2006-03-30,SAS,26325
Turnaround Jump Shot,33.8443,162,200,-118.1078,3,3,0,2011-12,25,25,0.0,Right Side Center(RC),2012-03-09,MIN,13886
Jump Shot,33.9113,-182,133,-118.4518,4,1,0,2004-05,11,22,0.0,Left Side Center(LC),2004-11-07,ATL,11759
Jump Shot,33.9783,-172,66,-118.4418,8,4,1,2003-04,39,18,0.0,Left Side(L),2004-05-31,MIN,3861
Jump Shot,33.8813,151,163,-118.1188,0,1,0,2005-06,30,22,0.0,Right Side Center(RC),2006-01-12,CLE,6506
Jump Shot,33.8193,-56,225,-118.3258,0,5,0,2005-06,0,23,1.0,Center(C),2005-11-02,DEN,27702
Jump Shot,33.8963,-123,148,-118.3928,9,1,0,2006-07,33,19,1.0,Left Side Center(LC),2007-04-04,LAC,27745
Jump Shot,33.9893,39,55,-118.2308,6,2,0,2014-15,12,6,0.0,Center(C),2014-11-28,MIN,2605
Jump Shot,34.0003,17,44,-118.2528,3,1,0,2010-11,0,4,0.0,Center(C),2011-04-03,DEN,22898
Jump Shot,33.9753,182,69,-118.0878,3,4,0,2003-04,31,19,0.0,Right Side(R),2004-03-24,SAC,5103
Jump Shot,33.9913,59,53,-118.2108,0,2,0,2006-07,0,7,,Center(C),2007-04-01,SAC,6391
Jump Shot,33.8243,-99,220,-118.3688,0,4,1,1996-97,34,24,1.0,Left Side Center(LC),1997-04-30,POR,24753
Jump Shot,33.8073,91,237,-118.1788,2,2,0,1997-98,50,25,0.0,Right Side Center(RC),1997-11-18,UTA,10498
Turnaround Jump Shot,33.9913,3,53,-118.2668,2,3,0,2007-08,53,5,1.0,Center(C),2008-03-20,UTA,1298
Jump Shot,33.8323,-116,212,-118.3858,4,2,0,1996-97,4,24,,Left Side Center(LC),1997-01-03,SAC,5788
Turnaround Jump Shot,33.9443,-48,100,-118.3178,3,1,0,2015-16,51,11,0.0,Center(C),2015-12-12,HOU,14224
Jump Shot,33.9743,-229,70,-118.4988,1,2,0,2000-01,48,23,0.0,Left Side(L),2001-03-16,WAS,21337
Running Jump Shot,33.9723,-4,72,-118.2738,0,4,0,2010-11,4,7,1.0,Center(C),2010-11-14,PHX,636
Jump Shot,34.0323,-156,12,-118.4258,2,5,0,2002-03,49,15,0.0,Left Side(L),2003-04-06,PHX,10785
Jump Shot,33.9313,-209,113,-118.4788,1,1,1,2011-12,31,23,0.0,Left Side Center(LC),2012-05-16,OKC,29113
Driving Layup Shot,34.0463,17,-2,-118.2528,9,1,0,2012-13,49,1,1.0,Center(C),2012-11-04,DET,21019
Jump Shot,33.8123,118,232,-118.1518,0,2,0,2003-04,35,26,0.0,Right Side Center(RC),2004-03-26,MIN,16982
Turnaround Fadeaway shot,33.9063,-87,138,-118.3568,8,4,0,2007-08,29,16,0.0,Left Side Center(LC),2008-04-08,POR,20865
Driving Layup Shot,34.0223,24,22,-118.2458,4,1,0,2010-11,40,3,,Center(C),2010-11-19,MIN,23768
Jump Shot,34.0143,51,30,-118.2188,5,1,0,2002-03,34,5,1.0,Center(C),2003-03-05,IND,13218
Layup Shot,34.0443,0,0,-118.2698,9,1,0,2005-06,52,0,1.0,Center(C),2006-01-31,NYK,11035
Jump Shot,33.8803,-85,164,-118.3548,1,3,0,2005-06,56,18,0.0,Left Side Center(LC),2006-03-19,CLE,8495
Jump Shot,33.8843,-153,160,-118.4228,2,1,1,2003-04,56,22,0.0,Left Side Center(LC),2004-06-10,DET,7210
Layup Shot,34.0443,0,0,-118.2698,7,3,0,2003-04,32,0,0.0,Center(C),2004-03-15,ORL,13596
Jump Shot,33.8493,-152,195,-118.4218,5,1,1,2009-10,55,24,1.0,Left Side Center(LC),2010-05-08,UTA,17836
Jump Shot,33.9403,-29,104,-118.2988,0,1,1,2001-02,0,10,0.0,Center(C),2002-06-02,SAC,4860
Jump Shot,33.8653,-5,179,-118.2748,7,2,1,2010-11,51,17,1.0,Center(C),2011-04-26,NOH,25124
Step Back Jump shot,33.8953,15,149,-118.2548,5,4,0,2010-11,45,14,0.0,Center(C),2011-03-01,MIN,2925
Jump Shot,33.8763,77,168,-118.1928,7,1,0,2006-07,35,18,1.0,Right Side Center(RC),2006-11-07,MIN,12759
Jump Shot,33.8453,159,199,-118.1108,4,2,0,2006-07,28,25,1.0,Right Side Center(RC),2006-12-22,NJN,28695
Jump Shot,34.0473,147,-3,-118.1228,1,2,0,1998-99,3,14,0.0,Right Side(R),1999-04-17,UTA,6635
Driving Layup Shot,34.0363,-53,8,-118.3228,9,4,0,1997-98,14,5,0.0,Center(C),1998-01-07,MIL,25604
Layup Shot,34.0443,0,0,-118.2698,0,5,0,2004-05,38,0,0.0,Center(C),2004-12-17,WAS,11732
Reverse Slam Dunk Shot,34.0433,0,1,-118.2698,4,1,0,2014-15,10,0,1.0,Center(C),2014-11-28,MIN,14418
Jump Shot,33.9513,-118,93,-118.3878,4,1,0,1996-97,36,15,0.0,Left Side(L),1997-03-14,LAC,14621
Turnaround Jump Shot,33.8743,-8,170,-118.2778,3,3,0,2014-15,31,17,0.0,Center(C),2014-12-30,DEN,24328
Jump Shot,33.9043,-90,140,-118.3598,10,1,0,2008-09,48,16,0.0,Left Side Center(LC),2009-02-05,BOS,16666
Layup Shot,34.0443,0,0,-118.2698,1,4,0,2004-05,35,0,0.0,Center(C),2004-11-02,DEN,4060
Jump Shot,33.9453,169,99,-118.1008,2,2,1,2001-02,14,19,1.0,Right Side(R),2002-05-28,SAC,19928
Driving Layup Shot,34.0443,0,0,-118.2698,2,1,0,2008-09,5,0,,Center(C),2008-12-03,PHI,28279
Jump Shot,33.8433,13,201,-118.2568,3,4,0,2007-08,6,20,0.0,Center(C),2008-03-02,DAL,23920
Jump Shot,34.0213,182,23,-118.0878,11,3,0,2014-15,18,18,0.0,Right Side(R),2014-10-29,PHX,3127
Jump Shot,33.8153,1,229,-118.2688,7,3,0,2003-04,43,22,0.0,Center(C),2004-02-22,PHX,9481
Layup Shot,34.0443,0,0,-118.2698,7,1,0,2001-02,20,0,1.0,Center(C),2002-02-01,MEM,12397
Jump Shot,33.9313,133,113,-118.1368,3,3,1,2008-09,55,17,0.0,Right Side Center(RC),2009-05-08,HOU,13782
Jump Shot,33.9023,88,142,-118.1818,11,4,0,2009-10,42,16,0.0,Right Side Center(RC),2009-12-25,CLE,20155
